Question,Answer
شماره شبای حسابم رو نیاز دارم از کجا میتونم بدستش بیارم؟,سلام وقتتون بخیر شماره شبا در همراه نوین یا اینترنت بانک یا روی کارت های بانکی نقدی جدید قابل مشاهده است یا در سایت بانک از بخش بانکداری الکترونیکی تبدیل شماره حساب به شبا انجام دهید. آدرس سایت بانک جهت دریافت شماره شبا: https://www.enbank.ir/iban/newiban.aspx
لطفا راهنمایی کنید چطور میتونم کارت ها یا سپرده های ذخیره شده در نرم افزارم رو پاک کنم؟,سلام وقتتون بخیر از قسمت تنظیمات نرم افزار گزینه سپرده/کارت های ذخیره شده را انتخاب فرمایید هر شماره کارت یا حسابی که انتخاب شود گزینه ویرایش و حذف قابل مشاهده میباشد.
از نرم افزار انتقال انجام دادم از برنامه خارج شدم الان میخوام رسید تراکنش رو برای مقصد ارسال کنم از کجا میتونم انجام بدم؟,سلام وقتتون بخیر اگر از خود برنامه همراه نوین تراکنشی انجام دادید از قسمت تنظیمات، گزینه سوابق تراکنش های همراه نوین را بزنید سه ستون سپرده، کارت و بین بانکی قابل مشاهده است. تراکنش خود را پیدا کنید تراکنش را که انتخاب بفرمایید رسید تراکنش باز میشود و گزینه اشتراک گذاری قابل مشاهده است.
سقف کارت به کارت چقدره؟,سلام وقتتون بخیر در هر 24 ساعت سقف انتقال وجه کارت به کارت 10 میلیون تومان از همراه نوین یا اینترنت بانک و همچنین 10 میلیون تومان از خودپرداز میباشد و این مبلغ قابل افزایش نیست.
کجا میتونم ورود با اثر انگشت را فعال کنم؟,سلام وقتتون بخیر چنانچه برنامه را حذف کنید و مجدد نصب بفرمایید در اولین ورود با نام کاربری و رمز اجازه فعالسازی اثرانگشت را از شما میگیرد و همینطور در قسمت تنظیمات نرم افزار همراه نوین چنانچه اجازه فعالسازی این سرویس زمان نصب داده شده باشد قابلیت فعالسازی مجدد را دارد.
کارتم رو گم کردم میخوام مسدودش کنم راهنمایی میکنید؟,سلام وقتتون بخیر از بخش کارت ها، کارت مورد نظر را انتخاب فرمایید صفحه ی جدیدی نمایش داده میشود که در آن گزینه مسدود نمودن کارت نیز قابل مشاهده میباشد. از خودپرداز با استفاده از گزینه خدمات بدون کارت و همینطور اینترنت بانک و تلفنبانک هم میتوانید کارت خود را مسدود فرمایید یا با پشتیبانی امداد مشتریان شماره تلفن 02148031000 تماس بگیرید.
سود سپرده کوتاه مدت بانک چقدر هست؟,سلام وقتتون بخیر سود سپرده کوتاه مدت در حال حاضر 5 درصد میباشد و شرط دریافت سود به این صورت است که حداقل موجودی باید 50 هزار تومان در کل طول ماه باشد.
همه سپرده های خودم رو در همراه نوین نمیبینم علتش چیه؟,سلام وقتتون بخیر از قسمت تنظیمات نرم افزار گزینه تنظیمات، سپرده ها/کارت هارا بزنید و وضعیت نمایش تمام سپرده ها را روشن کنید.
کد سه رقمی روی کارتم پاک شده از کجا میتونم دریافت کنم؟,سلام وقتتون بخیر جهت دریافت کارت جدید به یکی از شعب بانک مراجعه بفرمایید.
پایا زدم چرا تا الان واریز نشده؟,سلام وقتتون بخیر در روز های تعطیل یک سیکل پایا ساعت 12 الی 14 داریم.
من میخوام انتقال انجام بدم نمیتونم میشه راهنمایی کنید,سلام وقتتون بخیر خواهشمند است پیام خود را با ذکر شرح خطا، مجدد ثبت نمایید.
وام میخوام بگیرم میشه لطفا شرایط گرفتن وام رو توضیح دهید,سلام وقتتون بخیر در خصوص دریافت تسهیلات و شرایط دریافت آن از یکی از شعب لطفا سوال بپرسید.
آدرس یکی از شعب بانک رو میخوام راهنمایی میکنید کجا میتونم آدرس شعب رو در نرم افزارتون چک کنم؟,سلام وقتتون بخیر در گزینه تنظیمات، قسمت درباره همراه نوین با انتخاب گزینه مکان شعب میتوانید آدرس شعب را جستجو فرمایید همینطور در سایت بانک نیز میتوانید جستجوی شعب را انجام دهید.
میخوام شماره موبایلی که پیامها ارسال میشه رو تغییر بدم کجا میتونم اینکار رو انجام بدم؟,سلام وقتتون بخیر برای تغییر شماره همراه جهت دریافت پیامها لطفا به یکی از شعب بانک مراجعه بفرمایید یا در اینترنت بانک جدید در قسمت تنظیمات با استفاده از گزینه تغییر شماره همراه میتوانید این کار را انجام دهید.
کجا میتونم درخواست بدم پیامهای زیر 10 هزار تومان هم برای من ارسال بشه؟,سلام وقتتون بخیر فعلا در حال حاضر طبق تصمیم داخلی بانک برای تراکنش های زیر ده هزار تومان پیامک تولید و ارسال نمیشود.
دریافت خطا هنگام انجام عملیات بانکی با کارت؟,تماس مشتری با مرکز امداد مشتریان بانک اقتصاد نوین (48031000) و بررسی وضعیت کارت و مشاهده خطای مربوط به کارت و ارائه پاسخ متناسب با خطای رویت شده.
نحوه فعالسازی رمز پویا؟,فعالسازی رمز دوم کارت از یکی از خودپردازهای بانک اقتصاد نوین پس از ورود به منوی تغییر رمز اینترنتی و ورود عدد 5 تا 12 رقم به عنوان رمز دوم، سپس به صورت اتوماتیک رمز پویا فعال می شود.
عدم امکان ورود به اینترنت بانک یا موبایل بانک به علت خطای رمز و مسدودی کاربری؟,به علت اشتباه وارد کردن نام کاربری یا رمز عبور به دفعات، اینترنت بانک یا موبایل بانک مسدود شده است. لطفا برای رفع مسدودی از گزینه بازیابی رمز عبور استفاده فرمایید و رمز عبور خود را تغییر دهید و یا پس از گذشت 24 ساعت از زمان مسدودی، به صورت سیستمی رفع مسدودی انجام خواهد شد و درصورت ورود رمز صحیح با همان رمز قبلی موفق به ورود خواهید بود.
میزان پیش فرض مجاز انتقال وجه روزانه از سپرده؟,سقف انتقال وجه از سپرده به صورت پیش فرض روزانه 15 میلیون تومان می باشد. برای افزایش سقف میبایست با مراجعه به یکی از شعب بانک و تکمیل فرم افزایش سقف انتقال وجه.
مواجه شدن با خطا در حین انجام عملیات بین بانکی؟,تماس مشتری با مرکز امداد مشتریان بانک اقتصاد نوین (48031000) و بررسی وضعیت سپرده و مشاهده خطای ایجاد شده در سامانه بانکی ارائه پاسخ متناسب با خطای رویت شده.
دریافت پیامک تمدید سپرده و کسب آگاهی از شرایط تمدید سپرده؟,تماس مشتری با مرکز امداد مشتریان بانک اقتصاد نوین (48031000) و بررسی نوع سپرده مشتری و نوع تجدید آن توسط کارشناسان و ارائه پاسخ مناسب با نوع سپرده مشتری.
دریافت شماره تماس یا آدرس نزدیکترین شعبه به محل سکونت مشتری؟,مشاهده اطلاعات شعب در سایت بانک و یا مشاهده جانمایی شعب در نرم افزار همراه نوین و یا نهایتا برقراری ارتباط مشتری با مرکز امداد مشتریان بانک اقتصاد نوین (48031000) و اعلام آدرس یا شماره تلفن شعبه مورد نظر توسط کارشناسان مرکز تماس به مشتری.
دریافت اطلاعات راجع به فرآیند افتتاح سپرده غیر حضوری؟,برنامه همراه نوین بانک اقتصاد نوین را از سایت رسمی بانک یا کافه بازار دریافت نمایید و پس باز کردن برنامه گزینه افتتاح حساب غیرحضوری را انتخاب فرمایید و مراحل افتتاح سپرده را گام به گام انجام دهید. همچنین با نصب برنامه فوربیکس نیز میتوانید به صورت غیرحضوری سپرده فوربیکسی در بانک اقتصاد نوین افتتاح بفرمایید.
دریافت خطا هنگام ثبت چک در ابزار مدرن؟,تماس مشتری با مرکز امداد مشتریان بانک اقتصاد نوین (48031000) و بررسی وضعیت حساب جاری مشتری و مشاهده خطا در سامانه های بانکی توسط کارشناسان و نهایتا ارائه پاسخ متناسب با خطای رویت شده.
درخواست غیرفعالسازی کارت بانکی؟,جهت غیرفعالسازی کارت از طریق اینترنت بانک، تلفن بانک، همراه نوین و خودپرداز بانک میتوانید این خدمت را دریافت نمایید و در صورتی که امکان استفاده از این خدمات برای شما میسر نباشد میتوانید با برقراری تماس با مرکز امداد مشتریان بانک اقتصاد نوین (48031000) و سپری کردن مراحل احراز هویت و پس از محرز شدن این مورد که تماس گیرنده صاحب کارت باشد، کارت شما توسط کارشناسان مرکز تماس غیرفعال میشود.
پرسش در خصوص شرایط سرمایه گذاری در صندوق های سرمایه گزاری ( آتیه نوین و ... ) ؟,از سایت نیب مارکت میتوانید در خصوص صندوق ها به تفکیک اطلاعات دریافت نمایید. همچنین جهت کسب اطلاعات بیشتر در خصوص صندوق های سرمایه گذاری میتوانید با شماره 84341000 تماس حاصل فرمایید.
پیگیری فرآیند انتقال وجه پایا و اطمینان از صحت فرآیند؟,تماس مشتری با مرکز امداد مشتریان بانک اقتصاد نوین (48031000) و بررسی کد رهگیری یا شماره مرجع تراکنش انجام شده در سامانه های بانکی توسط کارشناسان (در صورت نیاز پیگیری مورد تماس از ادارات بانک انجام خواهد شد) و نهایتا ارائه پاسخ متناسب با وضعیت تراکنش رویت شده.
پیگیری فرآیند انتقال وجه ساتنا و اطمینان از صحت فرآیند ؟,تماس مشتری با مرکز امداد مشتریان بانک اقتصاد نوین (48031000) و بررسی کد رهگیری یا شماره مرجع تراکنش انجام شده در سامانه های بانکی توسط کارشناسان (در صورت نیاز پیگیری مورد تماس از ادارات بانک انجام خواهد شد) و نهایتا ارائه پاسخ متناسب با وضعیت تراکنش رویت شده.
ساعت کاری شعب بانک ؟,در سایت بانک ساعت کاری شعب مشخص میباشد. همچنین با برقراری تماس مشتری با مرکز امداد مشتریان بانک اقتصاد نوین (48031000) میتوانید جویای ساعات کاری شعب باشید.
پرسش در خصوص مسیر حذف شماره کارت ها یا سپرده های ذخیره شده در همراه نوین ؟,پس از ورود به برنامه همراه نوین، بالای صفحه سمت چپ با انتخاب گزینه تنظیمات، گزینه شماره کارت/سپرده های ذخیره شده قابل مشاهده میباشد. از این گزینه می توانید برای حذف شماره کارت ها و شماره سپرده ها استفاده بفرمایید.
پرسش در خصوص نحوه فعالسازی سرویس پیامک کوتاه؟,فعالسازی سرویس پیامک کوتاه از اینترنت بانک و به صورت غیرحضوری میسر میباشد. همچنین با مراجعه به یکی از شعب بانک نیز میتوانید درخواست خود را اعلام بفرمایید.
نحوه دریافت صورتحساب از سپرده؟,از طریق اینترنت بانک و همراه نوین امکان دریافت و مشاهده صورتحساب وجود دارد. همچنین با مراجعه حضوری به یکی از شعب نیز می توانید صورتحساب خود را دریافت کنید.
نحوه وکالتی کردن سپرده؟,از طریق اینترنت بانک و به صورت غیرحضوری می توانید حساب خود را وکالتی کنید. و چنانچه جهت مراحل وکالتی نمودن سپرده خود ابهامی دارید میتوانید با مرکز امداد مشتریان بانک اقتصاد نوین (48031000) جهت راهنمایی تماس حاصل فرمایید. همچنین با مراجعه حضوری به یکی از شعب بانک نیز امکان دریافت این خدمت برای مشتریان میسر میباشد.
راهنمایی مشتری در زمانی که کارت مشتری در یکی از خودپرداز های بانک اقتصاد نوین ضبط شده ؟,تماس مشتری با مرکز امداد مشتریان بانک اقتصاد نوین (48031000) و اعلام رخداد ضبط کارت و بررسی وضعیت دستگاه خودپرداز توسط کارشناسان مرکز و مشاهده تعداد کارت های ضبط شده دستگاه و پس از بررسی تراکنش کارت مشتریان و کسب اطمینان از ضبط کارت در خودپرداز بانک طبق روال و هماهنگی با شرکت پشتیبانی بانک، مشتری را جهت دریافت کارت خود راهنمایی مینماید.
دریافت مجدد کد شارژ خریداری شده از همراه نوین؟,پس از ورود به نرم افزار همراه نوین در قسمت تنظیمات نرم افزار، اولین گزینه سوابق تراکنش را انتخاب فرمایید و سپس تراکنش مورد نظر را انتخاب کنید، کد شارژ با رنگ قرمز در بالای رسید درج می شود.
ارائه راهکار در خصوص مسدودی رمز دوم کارت و عدم ارسال رمز پویا در خرید های اینترنتی به علت ورود اشتباه رمز پویا ؟,زمانی که رمز دوم ثابت یا رمز پویا سه مرتبه اشتباه وارد شود، وضعیت رمز دوم کارت از فعال به مسدود موقت تغییر وضعیت پیدا میکند و در این شرایط رمز پویا ارسال نمیشود و پیام مسدود یا منقضی بودن کارت برای مشتریان ارسال میشود. جهت رفع مسدودی، پس از سپری شدن 2 ساعت با رمز دوم ثابت کارت خود تراکنشی با مبلغ زیر صد هزارتومان انجام دهید و یا چنانچه رمز دوم خود را فراموش کرده اید، از خودپرداز های بانک اقتصاد نوین رمز دوم جدید تعریف بفرمایید تا مسدودی رفع شود و موفق به دریافت رمز پویا و انجام تراکنش مدنظر شوید.
مسیر مشاهده و دریافت شماره شبا؟,شماره شبا در همراه نوین یا اینترنت بانک یا روی کارت های بانکی نقدی جدید قابل مشاهده میباشد. همچنین در سایت بانک از بخش بانکداری الکترونیکی با تبدیل شماره حساب به شبا میتوانید به شماره شبای خود دسترسی پیدا کنید.
نحوه فعالسازی اثر انگشت جهت ورود به همراه نوین ؟,چنانچه برنامه همراه نوین را حذف کنید و مجدد نصب بفرمایید، در اولین ورود با نام کاربری و رمز اجازه فعالسازی اثرانگشت را از شما میگیرد. همچنین در قسمت تنظیمات نرم افزار همراه نوین چنانچه اجازه فعالسازی این سرویس زمان نصب داده شده باشد، قابلیت فعالسازی مجدد را دارد.
پرسش در خصوص سود سپرده های بانکی؟,سود سپرده کوتاه مدت در حال حاضر 5 درصد به صورت ماه شمار میباشد و شرط دریافت سود به این صورت است که حداقل موجودی باید روزانه 50 هزارتومان در طول ماه باشد.
راهنمایی در خصوص دریافت اطلاعات روی کارت به علت مخدوش شدن اعداد روی فیزیک کارت؟,امکان مشاهده کد سه رقمی روی کارت وجود ندارد. لذا در صورت پاک شدن این کد، جهت دریافت مجدد کد سه رقمی میبایست از یکی از شعب بانک کارت جدید دریافت شود.
نحوه تغییر شماره همراه جهت ارسال پیامک های بانکی؟,برای تغییر شماره همراه در اینترنت بانک جدید، در قسمت تنظیمات با استفاده از گزینه تغییر شماره همراه میتوانید این تغییر را ایجاد بفرمایید. همچنین با مراجعه حضوری به یکی از شعب نیز میتوانید این تغییرات را اعمال فرمایید.
درخواست فعالسازی سامانه پیام کوتاه جهت ارسال پیامک های کمتر از 10 هزار تومان ؟,در حال حاضر طبق تصمیم داخلی بانک، برای تراکنش های زیر ده هزار تومان پیامک بانکی تولید و ارسال نمیشود.
پرسش در خصوص نحوه انتقال وجه به شبای سایر بانک ها در همراه نوین؟,زمانی که با نام کاربری و رمز وارد نرم افزار همراه نوین میشوید، با انتخاب گزینه انتقال وجه بین بانکی، سه گزینه پایا و ساتنا و آنی{پل} قابل مشاهده میباشد که با توجه به درخواست شما میتوانید از هر یک از این خدمات بهره مند شوید.
پرسش در خصوص ویرایش مندرجات چک به علت درج اطلاعات اشتباه در برگ چک؟,چک های صیادی به صورت کلی ویرایش ندارند و در صورت درج اشتباه اطلاعات، میبایست ذینفع گزینه رد چک را انتخاب نماید تا شخص صادرکننده چک بتواند مجدد چک را با اطلاعات صحیح ثبت نماید. چنانچه ذینفع چک را با مندرجات اشتباه تایید کرده باشد، میبایست به صادرکننده انتقال دهد تا شخص صادر کننده با همراه داشتن لاشه چک در مراجعه به شعبه برگ چک را ابطال نماید.
دریافت رسید مجدد تراکنش انجام شده در همراه نوین جهت اشتراک گذاری رسید ؟,چنانچه از برنامه همراه نوین تراکنش انجام شده باشد، میتوانید از قسمت تنظیمات، گزینه سوابق تراکنش های همراه نوین را انتخاب فرمایید و کلیه تراکنش های انجام شده در سه ستون سپرده، کارت و بین بانکی قابل رویت میباشد. تراکنش مد نظر را مشخص بفرمایید. پس از مشاهده رسید تراکنش، گزینه اشتراک گذاری قابل مشاهده و استفاده میباشد.
سقف انتقال وجه کارت به کارت ؟,در هر 24 ساعت سقف انتقال وجه کارت به کارت 10 میلیون تومان از ابزارهای مدرن (همراه نوین یا اینترنت بانک و تلفنبانک ) و 10 میلیون تومان از کانال خودپرداز میباشد و این مبلغ قابلیت افزایش ندارد.
پرسش در خصوص علت عدم رویت تمامی سپرده ها در همراه نوین؟,از قسمت تنظیمات نرم افزار همراه نوین گزینه تنظیمات ، سپرده ها/کارت ها را انتخاب فرمایید  و وضعیت نمایش تمام سپرده ها را روشن کنید در اینصورت تمام سپرده های فعال در نرم افزار قابل رویت میباشند.
خرید شارژ یا بسته اینترنتی و عدم فعالسازی شارژ یا بسته؟,در خصوص رفع مغایرت شارژهای مستقیم و بسته های اینترنتی در حال حاضر به صورت سیستمی در 72ساعت کاری به حساب خریدار عودت می گردد.
درخواست تغییر وضعیت کارت به علت ورود اشتباه رمز اول کارت و غیر فعال شدن کارت ؟,با در نظر گرفتن دسترسی فعالسازی کارت که فقط منحصرا در اختیار شعب میباشد لذا در خصوص فعالسازی وضعیت کارت میبایست به یکی از شعب مراجعه فرمایید.
نحوه سفارش کارت هدیه با تصویر دلخواه؟,از سایت بانک و همچنین از نرم افزارهمراه نوین در قسمت می کارت می توانید کارت هدیه با تصویر دلخواه سفارش دهید.
پرسش در خصوص شرایط تسهیلات آساوام؟,از طریق تماس مشتری با مرکز امداد مشتریان بانک اقتصاد نوین ( 48031000 ) مطابق دستورالعمل ها شرایط و ضوابط دریافت تسهیلات آسا وام به مشتریان اعلام میگردد و راهنمایی لازم انجام میشود .
پرسش د رخصوص شعب منتخب دارای صندوق امانات ؟,در تهران شعب فردوسی ، خبرنگار و شیراز شمالی دارای صندوق امانات میباشند و درسایر استان ها شعب منتخب دارای صندوق امانات به شرح ذیل می باشد : مطهری (یزد)، ارتش تبریز، آمل، گراش ، میدان شهدای کرج
عدم دریافت کارت درخواست شده از فوربیکس؟,از طریق تماس مشتری با مرکز امداد مشتریان بانک اقتصاد نوین ( 48031000 ) کارشناسان پاسخگو ابتدا صدور کارت را بر اساس اطلاعات هویتی مشتری بررسی مینمایند و در صورت صدور کارت شماره مرسوله پستی به مشتری جهت پیگیری بیشتر اعلام میگردد همچنین کارشناس مرکز تماس در صورت نیاز و جهت اطمینان از تحویل کارت به مشتری با ادارات بانک تماس میگیرد و مورد را تا حصول نتیجه پیگیری مینماید.
شرایط درخواست استفاده از نوین بانک؟,برنامه نوین بانک را از سایت رسمی بانک دریافت نمایید و پس از ورود و انجام احراز هویت می توانید به صورت غیر حضوری درخواست تسهیلات خود را ثبت فرمایید.
پرسش در خصوص تسهیلات فعال و قابل ارائه در بانک؟,از طریق تماس مشتری با مرکز امداد مشتریان بانک اقتصاد نوین ( 48031000 ) تمامی تسهیلات فعال در بانک به مشتری معرفی می گردد.
هنگام ساتنا خطای cour می گیرد,نمایش جزئیات انتخاب، علت نوشته شده است
هنگام پرداخت حقوق خطای calculate دریافت می نماید,1.گزینه بابت انتخاب نشده است 2.انتخاب گزینه بابت بعد اعتبارسنجی انتخاب شده است 3.خطای لحظه ای است، یکبار خارج مجدد وارد شود
صفحه مانیتور سیاه مانده است و نمی تواند وارد شد,سیستم ری استارت شود هنگام بوت گزینه del از کیبورد انتخاب شود. از تنظیمات نمایش داده شده به ترتیب گزینه های زیر انتخاب گردد Advance Windows of configuration 2-3 گزینه نمایش داده شده disable F10 انتخاب و سپس ذخیره شود لازم به ذکر است پس از انجام این تغییرات ممکن است ویندوز با تاخیر لود شود
در بورسا پیغام کاربر موجود نیست دریافت می گردد,مشتریان بانکی برای کاربر تعریف نشده است
مشتری حقوقی با کارت شرکت نمی تواند از کارگزاری خرید نماید.,با کارت نقدی حقوقی و کارت اعتباری امکان خرید بر روی دستگاه کارگزاری نیست
خطای follow cod به چه علت است,کد سیاح برای مشتری وارد نشده است و یا کد شهاب/نهاب قدیمی است و باید بروز رسانی شود
درخواست استعلاجی ثبت شده اما انجام نشده است,با دسترسی رئیس و معاون در گروه اشکالات ورود و خروج درخواست ثبت شده باشد
در کروم امکان بارگذاری اطلاعات نیست,با موزیلا وارد شود
کارمند به شعبه دیگری ماموریت رفته و تمبر دارد اما صندوق ندارد,در گروه مطالبات فوری گروه 410 درخواست فوری ارسال نماید.
مشتری مبلغ در حسابش مسدود شده ولی درخواست انصراف در بورسار دارد,به خانم شیما احمدی نامه ارسال شود
هنگام ورود به میزبان خطا دریافت می شود,چنانچه بیش از دو ماه از تغییر رمز ویندوز گذشته است باید رمز ویندوز تغییر یابد (رمز ثبت شده طی 3 ماه اخیر استفاده نشده باشد و ترکیبی از حرف، عدد و کاراکتر باشد).
رمز ویندوز لاک شده است,15 دقیقه منتظر باشد خودکار آنلاک می شود
هنگام پایا گروهی خطای فایل دستور پرداخت گروهی قبلا ثبت شده است دریافت می گردد.,شناسه استفاده شده در بانک تکراری است. شناسه تغییر یابد
عدم دسترسی به فایل share بعد جا به جایی داخل شعبه,در قسمت جستجو یا run دو تا بک اسلش // آی پی سیستم در بخش چهارم 120 وارد شود. به عنوان مثال 172.31.0.120 \\
خطا این سپرده صرفا برای افراد مهجور است دریافت می کند,با دسترسی معاون وارد اصلاح مشخصات کلی شود بدون کوچک ترین تغییرات فقط اعمال و تایید نماید
اتباع چند کارت و سپرده می توانند داشته باشند,در کل شبکه بانکی 2 سپرده کوتاه مدت / 2 سپرده قرض الحسنه و فقط 1 کارت می توانند داشته باشند.
برای مشتریان حقوقی چند کارت می توان صادر کرد؟,در کل بانکداری 2 سپرده و هر سپرده 5 کارت می توان صادر کرد.
پس از نصب مجدد ویندوز امکان استفاده از اکسل یا ورد نیست و با خطای can not be accessed. The file may be corrupted located on server می دهد. چه باید کرد؟,ابتدا بر روی فایل کلیک راست کرده و از گزینه trilex گزینه dyscrept انتخاب شود. در مرحله دوم از نوار ابزار نرم افزار trilex/ quick setting گزینه lod on انتخاب شود. اگر نام کاربری نمایش داده شد از گزینه attenti انتخاب و رمز ویندوز وارد شود. اما چنانچه درخواست نام کاربری شد با سلام مهر تماس گرفته شود
هنگام عودت وثیقه خطای موجودی کافی نیست 6222 می گیرد؟,از 6225 با همان شماره سریال به 6222 سند بزند
با شناسه ثبت شده تخصیص کارت هدیه انجام نمی شود؟,هنگام تخصیص شماره مشتری وارد نشود. از بخش دوم شناسه هویت بر روی کد ملی قرار گرفته و کد ملی وارد و اعمال شود. و شماره دارنده نمایش داده شد ثبت شود.
هنگام بستن پرونده اعتباری خطای وثیقه نامشخص دارد دریافت می شود,از بخش پرونده کارت اعتباری / اصلاح پرونده / گزینه نامشخص انتخاب / استعلام انتخاب شود
اطلاعات در میزبان هنگام واکشی برای متوفیان انجام نمی شود و اطلاعات از فرانگین خوانده نمی شود,1. تاریخ فوت در فرانگین ثبت شده باشد 2. سپرده مسدود نداشته باشد 3. حتما مبلغ، شبا و شماره شناسه صحیح وارد شده باشد
نام کاربری و رمز سامانه ضمانت نامه گمرکی چیست؟,با سامانه احکام قضایی یکسان است
هنگام صدور کارت خطای کارت مشکوک است دریافت می گردد,عملیات صدور کارت تکمیل نشده است. باید از مدیریت کارت / عملیات کارت / تعیین وضعیت فیزیکی کارت های مشکوک انتخاب شود
بررسی وضعیت تسهیلات چگونه انجام می شود,دریافت وجه / جستجوی شماره مشتری / پرونده اعتباری / لیست پرونده اعتباری
به جای اینکه سپرده آزاد شود قرار داد آزاد شده است,قرارداد قابلیت استفاده مجدد ندارد، باید عودت داده شود / مجدد تعریف شود / ترهین شود / تخصیص داده شود
نرخ تسهیلات سرمایه گذاری اشتباه است و هنگام اصلاح خطای دسترسی می دهد,دستور العمل پایش اطلاعات در سامانه فرانگین / فرم حذف و اصلاح تکمیل / ارسال برای سرپرستی
گزارش فرانگین اعتباری اسنادی / بانک مرکزی مانده دارد,لیست پرونده اعتبار اسنادی وارداتی / وضعیت بررسی شود. تاریخچه اعتبار اسنادی وضعیت سند بررسی شد. در صورتی که تسویه نزده ابتدا اعتبار اسناد داخلی سپس تسویه اعتبار داخلی ثبت تسویه انتخاب شود
